timestamp;buyer;seller;symbol;currency;price;quantity
100;;;KELP;SEASHELLS;2041.0;4
100;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
300;;;RAINFOREST_RESIN;SEASHELLS;9998.0;2
300;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
300;;;KELP;SEASHELLS;2037.0;6
500;;;KELP;SEASHELLS;2044.0;1
500;;;RAINFOREST_RESIN;SEASHELLS;10004.0;1
500;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
1300;;;KELP;SEASHELLS;2040.0;2
1400;;;KELP;SEASHELLS;2036.0;1
1500;;;KELP;SEASHELLS;2041.0;1
1500;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
1700;;;RAINFOREST_RESIN;SEASHELLS;10005.0;6
2400;;;KELP;SEASHELLS;2042.0;10
2700;;;RAINFOREST_RESIN;SEASHELLS;9998.0;5
2800;;;KELP;SEASHELLS;2041.0;1
2900;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
3100;;;KELP;SEASHELLS;2035.0;1
3300;;;RAINFOREST_RESIN;SEASHELLS;9996.0;2
3300;;;RAINFOREST_RESIN;SEASHELLS;9996.0;2
3700;;;KELP;SEASHELLS;2040.0;1
3700;;;KELP;SEASHELLS;2037.0;4
3800;;;KELP;SEASHELLS;2034.0;11
4200;;;KELP;SEASHELLS;2035.0;2
4200;;;KELP;SEASHELLS;2035.0;3
4300;;;RAINFOREST_RESIN;SEASHELLS;9996.0;1
4300;;;RAINFOREST_RESIN;SEASHELLS;9996.0;2
4300;;;RAINFOREST_RESIN;SEASHELLS;9995.0;1
4300;;;KELP;SEASHELLS;2035.0;1
4400;;;KELP;SEASHELLS;2035.0;1
4400;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
4800;;;RAINFOREST_RESIN;SEASHELLS;10002.0;3
4800;;;KELP;SEASHELLS;2039.0;1
4900;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
4900;;;RAINFOREST_RESIN;SEASHELLS;9998.0;4
5400;;;KELP;SEASHELLS;2035.0;6
6700;;;RAINFOREST_RESIN;SEASHELLS;10002.0;4
6800;;;KELP;SEASHELLS;2030.0;2
6800;;;RAINFOREST_RESIN;SEASHELLS;9996.0;1
6800;;;RAINFOREST_RESIN;SEASHELLS;9996.0;1
6800;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
6900;;;KELP;SEASHELLS;2035.0;1
7200;;;RAINFOREST_RESIN;SEASHELLS;10004.0;1
7200;;;KELP;SEASHELLS;2036.0;1
7300;;;KELP;SEASHELLS;2030.0;15
7400;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
7700;;;KELP;SEASHELLS;2035.0;1
7700;;;KELP;SEASHELLS;2036.0;1
7700;;;RAINFOREST_RESIN;SEASHELLS;10005.0;1
7800;;;KELP;SEASHELLS;2036.0;1
7900;;;KELP;SEASHELLS;2035.0;1
7900;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
8100;;;KELP;SEASHELLS;2037.0;14
8200;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
8300;;;KELP;SEASHELLS;2037.0;11
8900;;;RAINFOREST_RESIN;SEASHELLS;10002.0;5
9300;;;KELP;SEASHELLS;2034.0;4
9600;;;KELP;SEASHELLS;2034.0;1
9600;;;KELP;SEASHELLS;2034.0;1
10100;;;KELP;SEASHELLS;2033.0;4
10300;;;KELP;SEASHELLS;2035.0;2
10300;;;RAINFOREST_RESIN;SEASHELLS;10004.0;2
10600;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
10600;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
10700;;;KELP;SEASHELLS;2029.0;6
10800;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
10800;;;KELP;SEASHELLS;2029.0;1
11100;;;RAINFOREST_RESIN;SEASHELLS;9996.0;2
11300;;;KELP;SEASHELLS;2034.0;6
11400;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
12000;;;KELP;SEASHELLS;2032.0;15
12100;;;KELP;SEASHELLS;2026.0;2
12100;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
12300;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
12500;;;RAINFOREST_RESIN;SEASHELLS;10002.0;5
13300;;;KELP;SEASHELLS;2034.0;1
13600;;;KELP;SEASHELLS;2033.0;5
13700;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
14000;;;KELP;SEASHELLS;2035.0;1
14000;;;RAINFOREST_RESIN;SEASHELLS;9996.0;1
14300;;;KELP;SEASHELLS;2029.0;1
14500;;;KELP;SEASHELLS;2029.0;1
14500;;;KELP;SEASHELLS;2032.0;2
14800;;;KELP;SEASHELLS;2029.0;1
15000;;;KELP;SEASHELLS;2029.0;1
15100;;;KELP;SEASHELLS;2033.0;1
15100;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
15200;;;KELP;SEASHELLS;2029.0;7
15400;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
15400;;;KELP;SEASHELLS;2033.0;1
15500;;;KELP;SEASHELLS;2028.0;4
15500;;;KELP;SEASHELLS;2033.0;1
15800;;;KELP;SEASHELLS;2028.0;11
15800;;;RAINFOREST_RESIN;SEASHELLS;9998.0;4
16200;;;KELP;SEASHELLS;2033.0;1
16700;;;KELP;SEASHELLS;2028.0;1
16800;;;KELP;SEASHELLS;2035.0;2
16800;;;RAINFOREST_RESIN;SEASHELLS;10002.0;2
17100;;;KELP;SEASHELLS;2028.0;1
17300;;;RAINFOREST_RESIN;SEASHELLS;9998.0;1
18000;;;KELP;SEASHELLS;2030.0;5
18200;;;KELP;SEASHELLS;2033.0;1
18600;;;RAINFOREST_RESIN;SEASHELLS;10002.0;1
18700;;;KELP;SEASHELLS;2033.0;3
18700;;;KELP;SEASHELLS;2033.0;5
18700;;;KELP;SEASHELLS;2033.0;12
18900;;;KELP;SEASHELLS;2036.0;2
18900;;;RAINFOREST_RESIN;SEASHELLS;10004.0;1
